,logFC,logCPM,F,PValue,FDR
WBGene00011673,8.70690673,9.552739598,1117.256918,1.5363827212151e-31,2.12819734542715e-27
WBGene00011671,9.750385296,7.211203056,771.0345296,2.62830126348342e-28,1.82036145508861e-24
WBGene00007231,6.160456171,3.751620393,751.7768556,3.98012234028912e-28,1.83775515525616e-24
WBGene00010413,9.056008831,0.013535558,316.535593,2.17370267845685e-27,7.52753237549609e-24
WBGene00044514,7.487190126,4.111160232,677.9159628,4.38558106000819e-27,1.15656054112676e-23
WBGene00000986,6.444873517,3.654270973,665.2944388,5.00964716052596e-27,1.15656054112676e-23
WBGene00020587,2.961588887,5.805087474,636.8932272,9.89199793767289e-27,1.77291536813422e-23
WBGene00077764,4.138947386,2.718899302,636.4011225,1.02391878032586e-26,1.77291536813422e-23
WBGene00019818,4.912529524,3.485622245,599.2025751,3.27617578283833e-26,5.04239854931962e-23
WBGene00019515,4.580444854,7.448466964,584.5248839,5.22130122991098e-26,7.23254646367269e-23
WBGene00022813,5.002818599,7.709890024,573.5066702,7.53716033908144e-26,9.49134045608692e-23
WBGene00001756,8.240804414,6.283488831,548.4485742,2.00809757869058e-25,2.18765453348438e-22
WBGene00011672,4.980532368,5.990304787,544.4753985,2.05309767075491e-25,2.18765453348438e-22
WBGene00004236,6.264900843,3.601848515,533.8274562,3.35850538933005e-25,3.28305352494647e-22
WBGene00007232,4.329912135,3.746968952,529.2778234,3.55514025947134e-25,3.28305352494647e-22
WBGene00017480,1.941454727,7.436375446,522.1935816,4.57628248139533e-25,3.961916558268e-22
WBGene00007811,2.968929327,6.974742237,517.0975978,5.52318386696405e-25,4.50042017206977e-22
WBGene00006890,2.179850415,7.003044688,503.6870297,9.13557089134857e-25,7.03032933260891e-22
WBGene00010904,2.661999597,8.523944143,491.9837201,1.43190134457548e-24,1.04393144342419e-21
WBGene00044658,4.418429665,3.255453157,488.0335509,1.68419500662296e-24,1.16647346158706e-21
WBGene00000372,8.765412105,8.419278537,476.8629676,2.36512973899987e-24,1.56008462593458e-21
WBGene00018206,3.672241426,8.067557043,475.4451768,2.74953527113337e-24,1.69432114834937e-21
WBGene00019516,4.085798164,4.503355602,474.9417389,2.81326786110566e-24,1.69432114834937e-21
WBGene00021610,3.183382993,2.856245549,448.090269,8.54100013996213e-24,4.92958058078147e-21
WBGene00016505,2.442032414,4.207914502,441.0344878,1.14643998538326e-23,6.35219467101156e-21
WBGene00016174,3.594291862,3.431850663,431.4062775,1.74821017734308e-23,9.31392591406015e-21
WBGene00010706,4.124819011,2.599896027,411.8466554,5.03790138537862e-23,2.58462999963943e-20
WBGene00015045,8.870515153,4.256654282,395.6960804,6.91845704137726e-23,3.42265953346992e-20
WBGene00017970,1.934515138,7.301422473,391.776069,1.06590248935168e-22,5.0904085770318e-20
WBGene00003997,1.648926435,5.579777874,391.0727431,1.10245637677559e-22,5.0904085770318e-20
WBGene00001387,5.684384374,4.958384551,376.6732196,2.2301698965891e-22,9.96526238953298e-20
WBGene00011002,3.333319447,2.327034258,375.3003504,2.4166146964256e-22,1.03382871892046e-19
WBGene00020891,1.920369118,6.672599252,374.6145787,2.46291854781801e-22,1.03382871892046e-19
WBGene00002270,4.4825182,1.222151149,374.3878387,3.19406115837203e-22,1.30129809311086e-19
WBGene00019875,1.177351628,7.428759996,363.9600747,4.21613529045721e-22,1.66862588695466e-19
WBGene00008032,2.039139776,6.61325478,360.8255394,4.95197173150488e-22,1.90540867846682e-19
WBGene00011190,4.579267748,3.968719654,358.8189688,5.53197702858195e-22,2.07105258918695e-19
WBGene00008607,-1.597567199,8.89549672,353.4108528,7.28148204422671e-22,2.65429182306917e-19
WBGene00010707,5.051735905,-0.78754257,199.5412531,1.06588207250829e-21,3.75371142190458e-19
WBGene00011800,4.046997825,6.756214511,345.9171497,1.08394785501143e-21,3.75371142190458e-19
WBGene00015692,2.326844389,4.662112638,343.7496481,1.21759506485632e-21,4.11368947277797e-19
WBGene00001814,-1.29359045,8.207256302,340.2814935,1.46762137129512e-21,4.84035505599524e-19
WBGene00015044,6.49040481,6.026052851,339.004208,1.5795451745196e-21,5.08833947847571e-19
WBGene00016863,5.789533068,3.485451033,338.106884,1.80138091868448e-21,5.67107465582215e-19
WBGene00009319,-0.852872447,7.280700163,334.8846224,1.97149504867213e-21,6.06869986982364e-19
WBGene00007215,-1.322970874,5.809695517,333.5944141,2.11705287507916e-21,6.33403233051933e-19
WBGene00017426,-1.668950897,6.571968488,333.3216903,2.14914466888831e-21,6.33403233051933e-19
WBGene00010697,1.99869382,6.780858918,332.0427665,2.30695169655271e-21,6.65747810430169e-19
WBGene00017244,2.430903623,9.99153524,330.993019,2.4455310602005e-21,6.91336658079539e-19
WBGene00006418,3.886156358,1.842131859,330.7128514,2.58432577146591e-21,7.15961611726915e-19
WBGene00022159,-1.921280327,6.074749339,328.7546438,2.77128279455364e-21,7.52702142552098e-19
WBGene00020382,-1.919974511,7.074444061,328.2078402,2.85728830388997e-21,7.6113764587469e-19
WBGene00003410,-1.454343321,6.45112354,327.5691533,2.96159640501914e-21,7.67018694764071e-19
WBGene00001390,1.765695023,3.920591154,327.4186258,2.99011041851428e-21,7.67018694764071e-19
WBGene00007072,3.924516107,4.289341706,325.8231403,3.28302879820941e-21,8.26845725687213e-19
WBGene00013435,-1.425736531,5.677364272,319.2439636,4.75342698845356e-21,1.1757941186439e-18
WBGene00003561,1.891260894,5.683230912,310.9391163,7.70419441739102e-21,1.87225440473159e-18
WBGene00008273,1.987290572,6.054117279,305.9607323,1.03487480492933e-20,2.45569550819453e-18
WBGene00021611,1.881345374,3.440251435,305.8100093,1.04595751504099e-20,2.45569550819453e-18
WBGene00000412,3.535541872,5.770681889,304.9242756,1.10266388405816e-20,2.54568335366228e-18
WBGene00001775,-1.654491022,6.514545601,303.4950888,1.19943696527326e-20,2.72370505622381e-18
WBGene00015752,-1.87582091,9.133880635,302.348994,1.28511531553438e-20,2.87119634690037e-18
WBGene00004176,6.492053572,2.903521813,305.685695,1.50816815333604e-20,3.31605480317632e-18
WBGene00017154,-3.099954276,7.178899617,296.2059985,1.86779722545267e-20,4.04261361983913e-18
WBGene00017488,4.580281015,-0.734658245,188.9517858,2.06127829028448e-20,4.39274259646471e-18
WBGene00019234,2.497290874,4.634247397,288.8946151,2.94321286011387e-20,6.1771794754996e-18
WBGene00007810,2.470808299,4.462461068,285.8932271,3.55749587114899e-20,7.35498997121728e-18
WBGene00017315,5.616097394,1.15469784,250.7100908,4.2641382857115e-20,8.68630051965818e-18
WBGene00015067,2.257338432,4.566123392,279.7373149,5.27226418471561e-20,1.05842613748812e-17
WBGene00010738,-4.79920233,8.887305611,278.6176759,5.6643542674383e-20,1.1162105894216e-17
WBGene00011894,2.86605481,3.843366341,278.4833475,5.7225130817472e-20,1.1162105894216e-17
WBGene00003415,-0.985866401,8.016735872,278.2476698,5.80184539693586e-20,1.1162105894216e-17
WBGene00045379,-2.116083601,4.561927548,276.2943201,6.59182211915225e-20,1.24945580482179e-17
WBGene00020947,2.606892684,3.530469248,276.1249906,6.67482887357871e-20,1.24945580482179e-17
WBGene00018488,-1.919220203,7.435751404,274.5441986,7.38808668966668e-20,1.36453035767017e-17
WBGene00235110,5.79045727,-1.068448762,158.0010028,9.57759228300401e-20,1.74564221452857e-17
WBGene00009812,-1.076825308,7.982735364,268.7087206,1.08756210475916e-19,1.95648185391219e-17
WBGene00017621,2.164806218,5.240161647,268.2394799,1.12249322148195e-19,1.99343283384205e-17
WBGene00001624,1.702674663,2.813465556,267.7425285,1.1644464006836e-19,2.04176095471763e-17
WBGene00044278,4.054983853,0.012622841,263.9244182,1.21695636390378e-19,2.10715994409939e-17
WBGene00011408,-1.609343359,6.298803383,260.398344,1.91057098517042e-19,3.26731225760256e-17
WBGene00002007,-1.415547174,11.45322484,258.520208,2.17468097226948e-19,3.67361961315571e-17
WBGene00004020,-2.262339249,5.990969128,257.9915742,2.2559888990243e-19,3.76505520834755e-17
WBGene00020110,-0.962121164,6.760258591,256.4416217,2.51220163365233e-19,4.1100291859926e-17
WBGene00000017,2.234128612,5.53663389,256.3862264,2.52203639048059e-19,4.1100291859926e-17
WBGene00012909,-1.781579877,5.315798697,255.3050168,2.71987266978872e-19,4.38089258394342e-17
WBGene00016594,2.55159829,7.291369975,253.3934986,3.10981032249179e-19,4.90744135035136e-17
WBGene00003964,-1.033633625,10.46317802,253.2957638,3.13126064742424e-19,4.90744135035136e-17
WBGene00021327,-0.785210674,6.145450503,253.1974354,3.15306295250701e-19,4.90744135035136e-17
WBGene00008775,-1.087548904,6.322435294,252.8474701,3.23177588920114e-19,4.97406217969047e-17
WBGene00020301,0.978813914,5.381936557,251.9358721,3.44677006246497e-19,5.24666581376536e-17
WBGene00010627,-1.528335156,8.895395607,251.1389415,3.64673738667804e-19,5.43356112636305e-17
WBGene00010478,-1.531121564,8.745401875,251.1340556,3.64800162252212e-19,5.43356112636305e-17
WBGene00015168,-1.458858336,9.881012847,250.5611365,3.79942922666684e-19,5.59890357955203e-17
WBGene00003877,-1.711871451,8.190623459,249.7013465,4.03917128211013e-19,5.889536905241e-17
WBGene00019543,-0.954288479,7.710727172,249.3457747,4.14290704431772e-19,5.97786962269678e-17
WBGene00020915,-1.664172625,9.105569699,249.1012843,4.2158455429961e-19,6.02040128469917e-17
WBGene00022306,0.949308364,6.031918067,246.7732004,4.98189739878671e-19,7.04175946612178e-17
WBGene00011480,-1.415152626,10.56441154,246.1203668,5.22183760790811e-19,7.30635298431749e-17
WBGene00017431,1.878799874,6.135936593,245.606516,5.41941030712197e-19,7.50696715742535e-17
WBGene00010524,-1.240213969,6.13244953,244.8731177,5.71485495899598e-19,7.83783870217944e-17
WBGene00013882,2.301580892,6.020835033,242.9669946,6.56464157805163e-19,8.91504069991874e-17
WBGene00010303,-1.826734489,7.890168086,242.6665614,6.71003891048623e-19,8.98604077703803e-17
WBGene00004894,1.293384363,4.365570593,242.6010917,6.746666480017e-19,8.98604077703803e-17
WBGene00019965,1.551819461,5.85156534,242.1711322,6.95772703581245e-19,9.17889856191182e-17
WBGene00009383,2.153435621,7.221617492,239.558845,8.43058597091188e-19,1.10170261197237e-16
WBGene00010032,-3.029685569,4.414991576,236.7708142,1.03809755334861e-18,1.34389974850326e-16
WBGene00018340,-1.609160689,5.652794555,236.5548581,1.05382130405783e-18,1.35162339850084e-16
WBGene00002238,-1.278803383,8.738453267,236.2860585,1.07510602372365e-18,1.36627235235046e-16
WBGene00010896,-2.04687923,8.745953347,235.2993872,1.15752792495963e-18,1.45764334695825e-16
WBGene00021088,-1.554901154,9.623360972,233.1463317,1.36124241551844e-18,1.69873242700553e-16
WBGene00018430,2.216125205,3.648809242,232.7472289,1.40529208112203e-18,1.73804517033057e-16
WBGene00009920,1.27964613,8.400786036,231.854709,1.50119862544428e-18,1.8402303858101e-16
WBGene00016906,-1.120434006,5.482585873,229.8414592,1.75029786295361e-18,2.12676543838889e-16
WBGene00003752,1.489224559,5.61708123,229.113635,1.85065034004616e-18,2.21893405727928e-16
WBGene00008743,3.135045606,4.703760376,229.0698197,1.85818907482238e-18,2.21893405727928e-16
WBGene00017220,1.606646909,5.038807659,228.077178,2.004418727715e-18,2.37262382372298e-16
WBGene00019104,4.977078047,1.994605689,229.4071833,2.02114937337071e-18,2.37262382372298e-16
WBGene00003995,2.061682152,8.060568518,227.4162924,2.10886920893558e-18,2.45479464556098e-16
WBGene00001621,1.258024445,3.824479187,226.9490811,2.18840632144398e-18,2.51199985418175e-16
WBGene00021048,2.072319383,6.876196502,226.9025063,2.19428228671666e-18,2.51199985418175e-16
WBGene00004008,2.685238871,7.983934665,226.2820818,2.30227871603231e-18,2.6140298995475e-16
WBGene00006617,-0.955434904,8.464202354,225.3174072,2.48142537893907e-18,2.794528808867e-16
WBGene00001025,-0.785919129,7.146986151,224.5176689,2.64102201368947e-18,2.95027717206665e-16
WBGene00002066,-0.967376544,9.101595957,223.7908795,2.79538761013053e-18,3.06846110840009e-16
WBGene00001228,-0.870263303,7.892558767,223.789435,2.79570654381311e-18,3.06846110840009e-16
WBGene00020895,1.485263778,5.273468408,223.711487,2.81327289031772e-18,3.06846110840009e-16
WBGene00018748,2.295015491,3.25892019,223.3765147,2.89349048988739e-18,3.10331180362109e-16
WBGene00001209,-0.999083396,8.846337512,223.3130421,2.90201535538125e-18,3.10331180362109e-16
WBGene00016180,6.153506719,5.795072586,223.2492642,2.92075770774632e-18,3.10331180362109e-16
WBGene00001232,-0.831007405,7.801476715,223.1696612,2.93483862456225e-18,3.10331180362109e-16
WBGene00015920,-1.135700957,7.534091934,222.6605095,3.05456642672944e-18,3.20544349568608e-16
WBGene00013181,2.746330541,5.228245916,222.4189076,3.11396129837241e-18,3.24320239887629e-16
WBGene00022173,-1.195099638,5.279761348,222.1926364,3.16939228197394e-18,3.25973036715494e-16
WBGene00001650,-1.093514808,7.60334604,222.1614505,3.17689575199189e-18,3.25973036715494e-16
WBGene00021934,-1.223713154,8.372697006,221.2457407,3.41489974785121e-18,3.47817583141434e-16
WBGene00001497,-1.285788314,7.188484029,221.0011603,3.48159378300424e-18,3.49969637621651e-16
WBGene00011771,-1.286429452,8.195497866,220.959013,3.49321246384749e-18,3.49969637621651e-16
WBGene00012717,1.717125751,5.216121319,220.8927806,3.51182353663077e-18,3.49969637621651e-16
WBGene00018373,-1.032873301,6.777684548,219.9731142,3.7771848443045e-18,3.73725460452185e-16
WBGene00012531,1.992878163,7.404651244,219.4810428,3.92786320749642e-18,3.85877738654188e-16
WBGene00007946,5.352513851,3.716112325,219.5737278,4.13942110281896e-18,4.03797613494706e-16
WBGene00012978,-1.18705599,7.233853218,217.9919437,4.4234656863043e-18,4.28488438368442e-16
WBGene00021369,1.474672771,5.63738443,217.791446,4.49517303826667e-18,4.32410673097707e-16
WBGene00000016,1.507553849,4.394681035,217.6690692,4.54215816629499e-18,4.3391706841047e-16
WBGene00009660,2.24431611,3.574406318,217.47471,4.61681196669911e-18,4.38027940840521e-16
WBGene00010681,1.518735567,7.999559164,217.3463948,4.6582934014376e-18,4.38957008140909e-16
WBGene00019357,2.403188187,4.688780339,215.5652689,5.37958423596648e-18,5.03082392484202e-16
WBGene00012182,1.404617317,4.382205721,215.4924122,5.41144069305126e-18,5.03082392484202e-16
WBGene00006984,1.927805109,3.38067259,213.9825788,6.12173337986669e-18,5.65321671852756e-16
WBGene00016583,-1.012153478,6.041495175,213.6684485,6.27063298332775e-18,5.75237139636132e-16
WBGene00019220,-1.037441008,5.536559132,213.3776949,6.42099891713167e-18,5.85155769737551e-16
WBGene00001674,1.288219068,4.433705884,213.296518,6.46695490608834e-18,5.85491891236181e-16
WBGene00006889,-1.005987573,6.139027366,212.9199011,6.66514823475738e-18,5.99517099661424e-16
WBGene00008602,3.707570878,5.101022511,212.8270407,6.72116272186589e-18,6.00655135634106e-16
WBGene00017865,2.770435682,2.628868294,212.0967062,7.16149760723098e-18,6.35904261893356e-16
WBGene00044182,3.869384078,-0.483347143,197.254536,7.88915012325113e-18,6.96054187944425e-16
WBGene00022078,1.726498122,4.761346185,210.342896,8.23741268414369e-18,7.22181268992142e-16
WBGene00021546,-1.027209362,6.133010286,210.164684,8.35657000080363e-18,7.26516042870255e-16
WBGene00009110,3.425234279,3.361173896,210.1573105,8.39175331065845e-18,7.26516042870255e-16
WBGene00009803,2.619561661,5.213707657,209.9861766,8.48226824527261e-18,7.29791178469045e-16
WBGene00016607,-1.800330252,5.687949451,209.8745279,8.55976979355126e-18,7.31913155433778e-16
WBGene00011424,2.615160876,1.513046598,209.1599605,9.28366606560143e-18,7.88940750556509e-16
WBGene00008439,2.740269951,4.410968204,208.3491131,9.71915795907926e-18,8.16130399511234e-16
WBGene00001243,-1.122045971,8.471542358,208.3381892,9.72144931557562e-18,8.16130399511234e-16
WBGene00019827,1.275536919,6.779828507,208.2064197,9.82861945885411e-18,8.20156847855706e-16
WBGene00006787,-1.237306816,9.475336332,208.0558246,9.95249761378018e-18,8.2178407974228e-16
WBGene00020788,-1.259475389,8.447858752,208.0386118,9.96677197492804e-18,8.2178407974228e-16
WBGene00018731,3.195447374,4.684604538,207.4817037,1.04476933450888e-17,8.56339930273199e-16
WBGene00000155,-1.153040727,6.494768267,206.3590837,1.14678413343043e-17,9.34426695075197e-16
WBGene00020784,1.57429992,5.858153728,206.0970053,1.17228249215397e-17,9.49617373176424e-16
WBGene00015930,1.521385505,4.429594841,206.0342107,1.17916725904875e-17,9.49640980950187e-16
WBGene00019246,-1.09691603,6.229393821,205.4294415,1.23989271567562e-17,9.92774213730563e-16
WBGene00013906,1.671566784,3.99334888,205.3487232,1.24932574680975e-17,9.94578174989005e-16
WBGene00022599,-1.1543286,8.392166569,205.0110743,1.28433173324773e-17,1.01660360965414e-15
WBGene00011440,-1.041170053,5.198566947,204.0604411,1.39179695856391e-17,1.09540746988791e-15
WBGene00019510,-1.614535605,9.64071449,203.8302164,1.41905253647405e-17,1.10894539931448e-15
WBGene00001945,0.908781338,6.647761867,203.7808316,1.42500924832499e-17,1.10894539931448e-15
WBGene00019537,-1.426712744,9.198797315,201.9205626,1.66917898768312e-17,1.29170208588752e-15
WBGene00007055,1.268870732,6.627794267,201.2530618,1.7671827954943e-17,1.35994533795484e-15
WBGene00003989,-1.016317588,6.935134073,200.8943729,1.8223087537417e-17,1.39461993684143e-15
WBGene00019800,-1.267352092,5.826251121,200.6706551,1.85763906921128e-17,1.41384705421509e-15
WBGene00000977,2.892774367,4.3359688,200.5571608,1.87794953923542e-17,1.42149491898847e-15
WBGene00001226,-1.359567126,8.872279665,200.2455757,1.92665156507994e-17,1.44938818993291e-15
WBGene00004981,-1.627196262,6.924364895,200.1909679,1.93572635819801e-17,1.44938818993291e-15
WBGene00019830,3.533529932,5.026266593,200.0924906,1.95342709869636e-17,1.45290521476327e-15
WBGene00011286,3.397941475,2.630651907,200.1379464,1.96140106237894e-17,1.45290521476327e-15
WBGene00002083,-1.691419807,9.731459061,199.9735938,1.972242316833e-17,1.45316492408355e-15
WBGene00013577,0.862292185,6.977933806,199.8847724,1.98738301860966e-17,1.45657299332175e-15
WBGene00001231,-1.140890432,6.973066139,199.8038407,2.00127843393691e-17,1.4590373087839e-15
WBGene00014826,1.754014987,4.455508163,199.547592,2.04705166449119e-17,1.48459474641529e-15
WBGene00021852,-0.897172061,8.540352172,199.0906289,2.12820962852747e-17,1.53541457158138e-15
WBGene00006945,-0.990723003,7.015983771,198.9021064,2.16316251397808e-17,1.55254544785619e-15
WBGene00012964,-1.735463262,7.056922214,198.6228798,2.21603319133033e-17,1.58229339001586e-15
WBGene00018271,-2.009476463,8.63239456,198.0495209,2.3288726953464e-17,1.65433561927889e-15
WBGene00007350,-0.737650719,8.088273585,196.7504011,2.60744731827885e-17,1.83521351129748e-15
WBGene00000067,-1.61173776,10.80890529,196.739176,2.60999900177305e-17,1.83521351129748e-15
WBGene00017245,-1.11494439,7.220741887,196.4104355,2.68597524243825e-17,1.87909742718458e-15
WBGene00006662,1.533736702,4.298811535,195.9989164,2.7859574730819e-17,1.93925039784576e-15
WBGene00013586,5.466357267,-0.640629632,158.3868193,2.93813810970926e-17,2.03495445478463e-15
WBGene00015282,-0.832273891,6.146179054,194.8746979,3.07288372265054e-17,2.11769081224653e-15
WBGene00013740,-1.092727254,5.543654481,194.4228209,3.19761911680693e-17,2.19274356465394e-15
WBGene00016844,-1.332811232,5.398301118,194.2332923,3.25159026998911e-17,2.21876987290094e-15
WBGene00015076,3.42317813,4.9450989,193.363255,3.5130536629035e-17,2.38543232051663e-15
WBGene00004227,1.351805123,5.481772527,192.908876,3.65529259444627e-17,2.46990795211072e-15
WBGene00022739,-0.831587082,7.242439858,192.7583544,3.70428850576567e-17,2.49086429038185e-15
WBGene00007460,2.684451891,5.672523455,192.3857409,3.82904344720952e-17,2.56231448457711e-15
WBGene00017892,-1.868318186,8.8961637,192.1777365,3.90031704032245e-17,2.59746113666089e-15
WBGene00020184,-1.126596209,6.463506442,191.9589755,3.97700684036634e-17,2.63586118434232e-15
WBGene00017283,-1.018424474,7.297214538,191.715961,4.06399242846174e-17,2.68068681519295e-15
WBGene00001774,-2.120479664,5.91016687,191.6223251,4.09831881640088e-17,2.69051716799929e-15
WBGene00020068,-0.980099627,6.775235804,191.399494,4.18031656024007e-17,2.72611522208665e-15
WBGene00004014,-1.231398977,8.433173236,191.3684182,4.19190400162039e-17,2.72611522208665e-15
WBGene00012665,-0.883654524,5.721301622,191.2426864,4.23931230721415e-17,2.74406327474441e-15
WBGene00007001,-1.363870716,6.392704161,191.1738163,4.26541164163943e-17,2.74811544465067e-15
WBGene00020269,-1.275143836,8.261978542,190.9342644,4.35766033074508e-17,2.78283329518384e-15
WBGene00018953,1.044771289,7.07752871,190.9296331,4.35947751266889e-17,2.78283329518384e-15
WBGene00002244,-1.285400309,8.051839726,190.6552932,4.46778484101642e-17,2.83888787237429e-15
WBGene00007764,2.298724972,4.344060211,190.3313459,4.6022208636653e-17,2.91095723303615e-15
WBGene00006684,2.699854552,2.48752434,190.2674026,4.65000704016944e-17,2.92781352365578e-15
WBGene00010872,1.193941029,4.116939036,190.0346296,4.72635613986329e-17,2.96242014703106e-15
WBGene00011042,2.727552315,3.042726984,189.9085733,4.79015130012222e-17,2.97599007395159e-15
WBGene00014244,-1.994334169,6.240428436,189.8768365,4.79097449098472e-17,2.97599007395159e-15
WBGene00018204,1.602258927,3.452915995,189.4527088,4.982682999568e-17,3.08125557634e-15
WBGene00001446,2.106491363,5.370711619,189.042566,5.16485755076694e-17,3.17971585747661e-15
WBGene00010665,1.890706489,9.030056591,188.9248002,5.21939887635221e-17,3.19907580686862e-15
WBGene00020592,1.239615206,6.369089435,188.54511,5.4014635451827e-17,3.296082512241e-15
WBGene00008583,-2.863764999,4.713711035,188.0794312,5.63726501009771e-17,3.42488574209971e-15
WBGene00006686,1.972319244,3.195776151,187.9550922,5.70751407396905e-17,3.45242292369517e-15
WBGene00019233,3.427609781,0.91997862,189.454621,5.7714772993124e-17,3.46241373977725e-15
WBGene00011488,-1.310219957,7.486804116,187.8078708,5.77402233532013e-17,3.46241373977725e-15
WBGene00020902,-1.328908742,6.680940743,187.3777301,6.00382054087232e-17,3.5846949194898e-15
WBGene00020148,2.335361397,3.469643527,187.3403772,6.03261317855179e-17,3.58642737121456e-15
WBGene00012738,-1.178863992,6.875469038,187.1704794,6.1179210781695e-17,3.62160011858137e-15
WBGene00020706,1.289937861,5.442796422,187.0209113,6.20187801142131e-17,3.65567720060459e-15
WBGene00017342,1.406854471,5.105616743,186.9121244,6.26376920254863e-17,3.67093521831542e-15
WBGene00016234,2.392048376,2.631425347,186.9052334,6.2945072722007e-17,3.67093521831542e-15
WBGene00000788,2.265210027,6.781420162,186.8353986,6.3072666904351e-17,3.67093521831542e-15
WBGene00008780,1.480994005,6.600185899,186.411369,6.555708300505e-17,3.79956784010859e-15
WBGene00011803,-2.644608264,6.939430879,186.3257949,6.60736371332183e-17,3.81355008987225e-15
WBGene00020142,0.973554005,6.308561098,186.079155,6.75751910549063e-17,3.87273097384205e-15
WBGene00007302,1.754460273,3.378964297,186.067741,6.77313622166754e-17,3.87273097384205e-15
WBGene00011344,1.410929227,4.393664003,186.026303,6.79377437657824e-17,3.87273097384205e-15
WBGene00018744,-1.93966724,7.377780234,185.7830098,6.94285633163895e-17,3.94149368466651e-15
WBGene00014016,1.051398603,6.832845515,185.4591074,7.15174296216195e-17,4.04350789844357e-15
WBGene00013672,1.280652975,4.665039031,184.8144289,7.58947260453278e-17,4.27355180967431e-15
WBGene00021757,-1.361239249,5.613661598,184.6776846,7.68372071277443e-17,4.30849758063963e-15
WBGene00008123,-1.302757821,4.491709461,184.6385976,7.71374097602244e-17,4.30849758063963e-15
WBGene00006724,-1.113172555,6.497696004,184.4931113,7.81476006301754e-17,4.3473918230088e-15
WBGene00021351,-1.280485227,8.238749457,184.3232729,7.93777827254348e-17,4.39816418525089e-15
WBGene00009380,1.766100464,4.720737135,184.1515218,8.06739174480767e-17,4.45217173103888e-15
WBGene00021888,-1.301119674,6.811828591,184.0150048,8.1664281946353e-17,4.48894299016223e-15
WBGene00000381,-0.941869304,8.728645159,183.5554927,8.52005578373256e-17,4.66481473186812e-15
WBGene00013340,-1.278823199,7.915458539,182.9801446,8.9856677128182e-17,4.9003728014944e-15
WBGene00012977,-0.908122299,5.323510679,182.0405039,9.80477971216956e-17,5.32611014011658e-15
WBGene00008832,1.192314084,4.760963456,181.5967631,1.02201294015649e-16,5.530048143378e-15
WBGene00008603,1.207414738,5.664315495,181.179785,1.06232085858477e-16,5.72578542144602e-15
WBGene00044481,2.150604113,3.484702285,180.5634413,1.12701118984678e-16,6.04130922432986e-15
WBGene00010015,-1.54497455,6.933436238,180.5228872,1.12958351797678e-16,6.04130922432986e-15
WBGene00001501,-1.201561362,8.938239321,180.082839,1.17713851302224e-16,6.27143180091697e-15
WBGene00011481,-1.208770886,8.339878788,179.5147519,1.24166336331991e-16,6.58985475429401e-15
WBGene00018984,-1.247889203,6.482776608,179.3174032,1.26494814258501e-16,6.68780979812503e-15
WBGene00009092,-1.250503514,6.602481476,178.8890529,1.31705159821336e-16,6.93680560397396e-15
WBGene00003599,1.231078355,5.133435758,178.778976,1.33087614995258e-16,6.98306682922086e-15
WBGene00002804,-0.998986638,6.346036159,178.687936,1.34229091269287e-16,7.01638253683834e-15
WBGene00001758,-3.092669711,6.482461248,178.45423,1.3723251405905e-16,7.14640896521035e-15
WBGene00044183,3.793793588,-1.344882181,120.1902493,1.39946941503278e-16,7.2547654318142e-15
WBGene00012714,-1.209702976,8.047945426,178.1793336,1.40838681903334e-16,7.2547654318142e-15
WBGene00001452,1.074418584,6.75631319,178.1759462,1.40884486078402e-16,7.2547654318142e-15
WBGene00017515,2.055321304,4.65194646,177.7230789,1.47131929794246e-16,7.54841293151813e-15
WBGene00013647,2.600952151,2.620852665,177.649034,1.48801875516531e-16,7.60591726809957e-15
WBGene00017719,-1.389682596,9.371383804,177.38315,1.51881329193941e-16,7.72322583050686e-15
WBGene00016103,-1.455446453,7.920869319,177.3218147,1.52769029261462e-16,7.72322583050686e-15
WBGene00008040,2.907584294,3.452798568,177.3405003,1.52769555122645e-16,7.72322583050686e-15
WBGene00000391,-1.299316425,4.790101396,177.2103855,1.54419196248748e-16,7.77823529613694e-15
WBGene00016894,2.574135629,7.671508142,176.7334184,1.61564938281137e-16,8.10868668503734e-15
WBGene00003725,1.826011288,3.497045829,176.5264883,1.64962724630308e-16,8.24932729811923e-15
WBGene00008401,-1.390772915,3.435428994,176.0925234,1.71947798170879e-16,8.5677010800828e-15
WBGene00015965,-1.687609552,5.330682253,176.0231092,1.72910275323301e-16,8.57796990027816e-15
WBGene00007000,-1.176927549,8.544962067,175.993066,1.73392403413073e-16,8.57796990027816e-15
WBGene00016866,3.081653076,3.372771506,175.7275835,1.78187821337691e-16,8.78383523547934e-15
WBGene00022180,-1.081926203,5.870748856,175.6163687,1.79758967916896e-16,8.82986249498173e-15
WBGene00015676,-1.292906305,7.754960282,175.522063,1.81386912232484e-16,8.87834455210025e-15
WBGene00006705,2.695292125,4.620499994,175.3462559,1.84562959072927e-16,9.0019933418246e-15
WBGene00020219,2.78603178,1.513944468,175.2455186,1.9035849006273e-16,9.25209054157523e-15
WBGene00015551,1.11923448,6.796470624,174.8441413,1.93578908195746e-16,9.37571691023592e-15
WBGene00011112,-3.098613698,3.464549234,174.8371832,1.94274799780801e-16,9.37663598105804e-15
WBGene00011232,0.974720752,10.40514308,174.7584121,1.95179727293064e-16,9.38760271688725e-15
WBGene00001233,-1.152136747,6.455940202,174.6204653,1.97788092400479e-16,9.45614829892616e-15
