,logFC,logCPM,F,PValue,FDR
WBGene00011890,-0.36796412,5.199444928,22.60733477,2.42342171750032e-05,6.3880566376431e-05
WBGene00018009,-0.362294122,4.893004523,22.60310061,2.42687689345799e-05,6.39594724660961e-05
WBGene00004778,0.571288529,4.109745303,22.59429637,2.43419841230983e-05,6.41402252374277e-05
WBGene00015704,0.446956457,4.0676354,22.57034806,2.45387907495379e-05,6.46465061739441e-05
WBGene00001662,-0.219163856,6.42651329,22.5569211,2.46482136453579e-05,6.49178628046574e-05
WBGene00020976,2.097705766,-0.8776229,22.52855393,2.46511664996028e-05,6.49178628046574e-05
WBGene00010805,0.39641584,3.513739061,22.54796281,2.47249467247154e-05,6.50997836971598e-05
WBGene00000438,0.581477503,3.074889927,22.51862549,2.49714240218215e-05,6.57362534303063e-05
WBGene00020379,-0.429534086,6.732068809,22.51029576,2.50377978437881e-05,6.58953532153795e-05
WBGene00016170,-0.296097238,7.52522848,22.50987003,2.50413759259138e-05,6.58953532153795e-05
WBGene00021352,0.354575042,5.74783242,22.50380144,2.50926144602287e-05,6.60176439701971e-05
WBGene00007453,1.039729732,1.386329473,22.50673982,2.51021650486037e-05,6.60302298240141e-05
WBGene00009424,1.05398944,5.871619467,22.49987146,2.51259492265295e-05,6.6080244671708e-05
WBGene00011644,0.65805809,3.107095864,22.46190189,2.54527299503168e-05,6.69269581001877e-05
WBGene00004312,-0.371476585,5.678507314,22.44395734,2.56033445999469e-05,6.73102162456756e-05
WBGene00013695,0.335921328,5.10132661,22.44105979,2.56284211508497e-05,6.73633566947951e-05
WBGene00007772,0.339027388,5.536430137,22.43369652,2.56920181412736e-05,6.75177073217458e-05
WBGene00044608,-0.468597018,4.010112274,22.42678116,2.57535884874179e-05,6.76666744551808e-05
WBGene00008973,-0.301441927,6.46022122,22.42567229,2.57615268694029e-05,6.7669519293571e-05
WBGene00007994,-0.747665079,2.773065235,22.42596638,2.57644415791433e-05,6.7669519293571e-05
WBGene00014090,0.441820143,4.672788245,22.42295316,2.57857589170974e-05,6.77126696719683e-05
WBGene00011443,-1.315089635,1.174195534,22.42544638,2.58177667604769e-05,6.77838713355053e-05
