WB_id,consensus_module,consensus_strength,chemical,logFC,FDR,is_detected,direction
WBGene00008607,2,1.0,PFOSA,-1.597567199,2.65429182306917e-19,True,down
WBGene00001775,2,1.0,PFOSA,-1.654491022,2.72370505622381e-18,True,down
WBGene00018488,2,1.0,PFOSA,-1.919220203,1.36453035767017e-17,True,down
WBGene00004020,2,1.0,PFOSA,-2.262339249,3.76505520834755e-17,True,down
WBGene00001243,2,1.0,PFOSA,-1.122045971,8.161303995112339e-16,True,down
WBGene00021852,2,1.0,PFOSA,-0.897172061,1.5354145715813802e-15,True,down
WBGene00000067,2,1.0,PFOSA,-1.61173776,1.83521351129748e-15,True,down
WBGene00014244,2,1.0,PFOSA,-1.994334169,2.97599007395159e-15,True,down
WBGene00008583,2,1.0,PFOSA,-2.863764999,3.42488574209971e-15,True,down
WBGene00001501,2,1.0,PFOSA,-1.201561362,6.27143180091697e-15,True,down
WBGene00018984,2,1.0,PFOSA,-1.247889203,6.687809798125031e-15,True,down
WBGene00017719,2,1.0,PFOSA,-1.389682596,7.723225830506861e-15,True,down
WBGene00000391,2,0.6666666666666666,PFOSA,-1.299316425,7.77823529613694e-15,True,down
WBGene00015965,2,0.7333333333333333,PFOSA,-1.687609552,8.577969900278161e-15,True,down
WBGene00008494,2,1.0,PFOSA,-4.046778061,1.25931471018363e-14,True,down
WBGene00000266,2,0.9666666666666667,PFOSA,-0.69397739,1.49389572109389e-14,True,down
WBGene00011222,2,1.0,PFOSA,-0.86794247,4.2116166193667104e-14,True,down
WBGene00018293,2,1.0,PFOSA,-2.371513829,4.7217115638413205e-14,True,down
WBGene00011006,2,1.0,PFOSA,-1.122044923,4.9298189292809e-14,True,down
WBGene00003957,2,0.7666666666666667,PFOSA,-2.90178326,5.09254872640659e-14,True,down
WBGene00016250,2,1.0,PFOSA,-1.033775707,5.4185985229091e-14,True,down
WBGene00001240,2,1.0,PFOSA,-1.264326629,5.5136277537719703e-14,True,down
WBGene00017149,2,0.8666666666666667,PFOSA,-2.014232041,5.8181485781646e-14,True,down
WBGene00004506,2,1.0,PFOSA,-0.849506427,6.783392411057451e-14,True,down
WBGene00020576,2,1.0,PFOSA,-1.124146531,6.783392411057451e-14,True,down
WBGene00016934,2,0.9,PFOSA,-1.176260387,1.35692140689032e-13,True,down
WBGene00008408,2,1.0,PFOSA,-1.380931234,1.38582468446143e-13,True,down
WBGene00001819,2,1.0,PFOSA,-0.970405739,1.4444561809879399e-13,True,down
WBGene00001772,2,0.6,PFOSA,-1.485293356,1.67763800764378e-13,True,down
WBGene00013073,2,0.9666666666666667,PFOSA,-4.495104007,1.7987787792006e-13,True,down
WBGene00009082,2,1.0,PFOSA,-0.667090966,1.85870193272778e-13,True,down
