WB_id,consensus_module,consensus_strength,chemical,logFC,FDR,is_detected,direction
WBGene00011671,3,0.9,PFBSA,8.11962636048776,6.10726812912321e-22,True,up
WBGene00022813,3,0.9333333333333333,PFBSA,4.03690022152753,9.66576429047072e-20,True,up
WBGene00001756,3,1.0,PFBSA,6.925611752948,1.8973044888415602e-19,True,up
WBGene00011672,3,0.9,PFBSA,3.65131124916277,9.129910451312469e-18,True,up
WBGene00017480,3,1.0,PFBSA,1.4167464212078,3.10565912691219e-17,True,up
WBGene00008273,3,0.8666666666666667,PFBSA,1.9009602190051,3.7916133952946604e-17,True,up
WBGene00007072,3,0.9,PFBSA,3.43163349183793,4.8397003490477e-16,True,up
WBGene00006890,3,1.0,PFBSA,1.38968432081694,4.2560324876694605e-15,True,up
WBGene00019516,3,1.0,PFBSA,2.53153019854898,1.7998506501860899e-13,True,up
WBGene00000282,3,1.0,PFBSA,1.33961849847397,7.60010248685859e-13,True,up
WBGene00019645,3,0.5333333333333333,PFBSA,2.2919456672888,1.52816087785592e-12,True,up
WBGene00012531,3,1.0,PFBSA,1.58101247958531,2.94899867279011e-12,True,up
WBGene00007890,3,1.0,PFBSA,2.14815311395404,3.21712937715243e-12,True,up
WBGene00012604,3,0.9,PFBSA,4.16491776778304,5.948985966935629e-12,True,up
WBGene00015044,3,0.8,PFBSA,3.92707097838249,1.13667159021719e-11,True,up
WBGene00018334,3,1.0,PFBSA,1.72130461970844,1.3964277629018099e-11,True,up
WBGene00007810,3,1.0,PFBSA,1.66672335144679,1.9225941738029297e-11,True,up
WBGene00009920,3,0.9666666666666667,PFBSA,0.897424648247056,4.1508821960423194e-11,True,up
WBGene00004236,3,1.0,PFBSA,3.50438690296857,4.9322715226625e-11,True,up
WBGene00011190,3,1.0,PFBSA,2.69252524583529,1.54044667718856e-10,True,up
WBGene00007605,3,0.9666666666666667,PFBSA,1.87817452416134,3.00140160879515e-10,True,up
WBGene00000977,3,0.5666666666666667,PFBSA,2.03717239120357,6.41476501025058e-10,True,up
WBGene00045208,3,0.9,PFBSA,-1.12156595247969,7.39595665438832e-10,True,down
WBGene00008602,3,1.0,PFBSA,2.44322526044404,7.858827591702631e-10,True,up
WBGene00019675,3,0.6,PFBSA,6.45527454688571,2.04648267278778e-09,True,up
WBGene00011288,3,0.9333333333333333,PFBSA,2.33241372787633,5.002360525536131e-09,True,up
