WB_id,consensus_module,consensus_strength,chemical,logFC,FDR,is_detected,direction
WBGene00007231,4,1.0,PFOSA,6.160456171,1.83775515525616e-24,True,up
WBGene00077764,4,0.9333333333333333,PFOSA,4.138947386,1.7729153681342202e-23,True,up
WBGene00019818,4,1.0,PFOSA,4.912529524,5.04239854931962e-23,True,up
WBGene00007232,4,1.0,PFOSA,4.329912135,3.28305352494647e-22,True,up
WBGene00044658,4,1.0,PFOSA,4.418429665,1.16647346158706e-21,True,up
WBGene00021610,4,1.0,PFOSA,3.183382993,4.92958058078147e-21,True,up
WBGene00016505,4,1.0,PFOSA,2.442032414,6.35219467101156e-21,True,up
WBGene00017970,4,1.0,PFOSA,1.934515138,5.0904085770318004e-20,True,up
WBGene00003997,4,1.0,PFOSA,1.648926435,5.0904085770318004e-20,True,up
WBGene00001387,4,0.7333333333333333,PFOSA,5.684384374,9.96526238953298e-20,True,up
WBGene00020891,4,0.5666666666666667,PFOSA,1.920369118,1.03382871892046e-19,True,up
WBGene00002270,4,0.9666666666666667,PFOSA,4.4825182,1.30129809311086e-19,True,up
WBGene00019875,4,1.0,PFOSA,1.177351628,1.6686258869546602e-19,True,up
WBGene00010697,4,1.0,PFOSA,1.99869382,6.65747810430169e-19,True,up
WBGene00001390,4,1.0,PFOSA,1.765695023,7.670186947640711e-19,True,up
WBGene00003561,4,1.0,PFOSA,1.891260894,1.87225440473159e-18,True,up
WBGene00004176,4,1.0,PFOSA,6.492053572,3.31605480317632e-18,True,up
WBGene00015067,4,1.0,PFOSA,2.257338432,1.0584261374881201e-17,True,up
WBGene00011894,4,0.7,PFOSA,2.86605481,1.1162105894216e-17,True,up
WBGene00020947,4,1.0,PFOSA,2.606892684,1.24945580482179e-17,True,up
WBGene00017621,4,1.0,PFOSA,2.164806218,1.99343283384205e-17,True,up
WBGene00001624,4,0.5666666666666667,PFOSA,1.702674663,2.04176095471763e-17,True,up
WBGene00000017,4,1.0,PFOSA,2.234128612,4.1100291859926e-17,True,up
WBGene00016594,4,1.0,PFOSA,2.55159829,4.90744135035136e-17,True,up
WBGene00020301,4,1.0,PFOSA,0.978813914,5.24666581376536e-17,True,up
WBGene00022306,4,1.0,PFOSA,0.949308364,7.04175946612178e-17,True,up
WBGene00013882,4,1.0,PFOSA,2.301580892,8.915040699918741e-17,True,up
WBGene00004894,4,1.0,PFOSA,1.293384363,8.986040777038031e-17,True,up
WBGene00009383,4,1.0,PFOSA,2.153435621,1.10170261197237e-16,True,up
WBGene00008743,4,1.0,PFOSA,3.135045606,2.21893405727928e-16,True,up
WBGene00003752,4,1.0,PFOSA,1.489224559,2.21893405727928e-16,True,up
WBGene00019104,4,1.0,PFOSA,4.977078047,2.37262382372298e-16,True,up
WBGene00017220,4,1.0,PFOSA,1.606646909,2.37262382372298e-16,True,up
WBGene00021048,4,1.0,PFOSA,2.072319383,2.51199985418175e-16,True,up
WBGene00001621,4,0.9666666666666667,PFOSA,1.258024445,2.51199985418175e-16,True,up
WBGene00004008,4,1.0,PFOSA,2.685238871,2.6140298995475e-16,True,up
WBGene00016180,4,1.0,PFOSA,6.153506719,3.10331180362109e-16,True,up
WBGene00018748,4,1.0,PFOSA,2.295015491,3.10331180362109e-16,True,up
WBGene00013181,4,1.0,PFOSA,2.746330541,3.24320239887629e-16,True,up
WBGene00012717,4,1.0,PFOSA,1.717125751,3.49969637621651e-16,True,up
WBGene00021369,4,1.0,PFOSA,1.474672771,4.32410673097707e-16,True,up
WBGene00000016,4,1.0,PFOSA,1.507553849,4.3391706841047e-16,True,up
WBGene00009660,4,1.0,PFOSA,2.24431611,4.38027940840521e-16,True,up
WBGene00010681,4,1.0,PFOSA,1.518735567,4.38957008140909e-16,True,up
WBGene00019357,4,1.0,PFOSA,2.403188187,5.03082392484202e-16,True,up
WBGene00012182,4,1.0,PFOSA,1.404617317,5.03082392484202e-16,True,up
WBGene00006984,4,1.0,PFOSA,1.927805109,5.65321671852756e-16,True,up
WBGene00001674,4,0.9,PFOSA,1.288219068,5.85491891236181e-16,True,up
WBGene00017865,4,1.0,PFOSA,2.770435682,6.35904261893356e-16,True,up
WBGene00044182,4,0.5666666666666667,PFOSA,3.869384078,6.96054187944425e-16,True,up
WBGene00022078,4,1.0,PFOSA,1.726498122,7.221812689921419e-16,True,up
WBGene00009803,4,1.0,PFOSA,2.619561661,7.29791178469045e-16,True,up
WBGene00011424,4,1.0,PFOSA,2.615160876,7.889407505565089e-16,True,up
WBGene00008439,4,1.0,PFOSA,2.740269951,8.161303995112339e-16,True,up
WBGene00019827,4,1.0,PFOSA,1.275536919,8.201568478557059e-16,True,up
WBGene00018731,4,1.0,PFOSA,3.195447374,8.563399302731989e-16,True,up
WBGene00020784,4,1.0,PFOSA,1.57429992,9.496173731764239e-16,True,up
WBGene00001945,4,1.0,PFOSA,0.908781338,1.1089453993144801e-15,True,up
WBGene00007055,4,1.0,PFOSA,1.268870732,1.35994533795484e-15,True,up
WBGene00011286,4,1.0,PFOSA,3.397941475,1.4529052147632702e-15,True,up
WBGene00013577,4,1.0,PFOSA,0.862292185,1.45657299332175e-15,True,up
WBGene00014826,4,0.8333333333333334,PFOSA,1.754014987,1.48459474641529e-15,True,up
WBGene00006662,4,1.0,PFOSA,1.533736702,1.93925039784576e-15,True,up
WBGene00015076,4,1.0,PFOSA,3.42317813,2.3854323205166303e-15,True,up
WBGene00004227,4,1.0,PFOSA,1.351805123,2.4699079521107203e-15,True,up
WBGene00007460,4,1.0,PFOSA,2.684451891,2.5623144845771102e-15,True,up
WBGene00018953,4,1.0,PFOSA,1.044771289,2.78283329518384e-15,True,up
WBGene00007764,4,1.0,PFOSA,2.298724972,2.91095723303615e-15,True,up
WBGene00006684,4,1.0,PFOSA,2.699854552,2.92781352365578e-15,True,up
WBGene00010872,4,1.0,PFOSA,1.193941029,2.96242014703106e-15,True,up
WBGene00011042,4,0.9,PFOSA,2.727552315,2.97599007395159e-15,True,up
WBGene00018204,4,1.0,PFOSA,1.602258927,3.0812555763399997e-15,True,up
WBGene00001446,4,1.0,PFOSA,2.106491363,3.17971585747661e-15,True,up
WBGene00020148,4,1.0,PFOSA,2.335361397,3.58642737121456e-15,True,up
WBGene00020706,4,1.0,PFOSA,1.289937861,3.65567720060459e-15,True,up
WBGene00016234,4,1.0,PFOSA,2.392048376,3.67093521831542e-15,True,up
WBGene00000788,4,1.0,PFOSA,2.265210027,3.67093521831542e-15,True,up
WBGene00017342,4,1.0,PFOSA,1.406854471,3.67093521831542e-15,True,up
WBGene00008780,4,1.0,PFOSA,1.480994005,3.7995678401085906e-15,True,up
WBGene00007302,4,1.0,PFOSA,1.754460273,3.87273097384205e-15,True,up
WBGene00011344,4,1.0,PFOSA,1.410929227,3.87273097384205e-15,True,up
WBGene00020142,4,1.0,PFOSA,0.973554005,3.87273097384205e-15,True,up
WBGene00014016,4,1.0,PFOSA,1.051398603,4.04350789844357e-15,True,up
WBGene00013672,4,0.9,PFOSA,1.280652975,4.273551809674311e-15,True,up
WBGene00009380,4,1.0,PFOSA,1.766100464,4.4521717310388805e-15,True,up
WBGene00008832,4,1.0,PFOSA,1.192314084,5.530048143378e-15,True,up
WBGene00008603,4,1.0,PFOSA,1.207414738,5.72578542144602e-15,True,up
WBGene00003599,4,1.0,PFOSA,1.231078355,6.983066829220861e-15,True,up
WBGene00001452,4,1.0,PFOSA,1.074418584,7.2547654318142e-15,True,up
WBGene00008040,4,1.0,PFOSA,2.907584294,7.723225830506861e-15,True,up
WBGene00016894,4,1.0,PFOSA,2.574135629,8.10868668503734e-15,True,up
WBGene00003725,4,1.0,PFOSA,1.826011288,8.24932729811923e-15,True,up
WBGene00016866,4,1.0,PFOSA,3.081653076,8.783835235479342e-15,True,up
WBGene00006705,4,1.0,PFOSA,2.695292125,9.001993341824601e-15,True,up
WBGene00020219,4,1.0,PFOSA,2.78603178,9.252090541575231e-15,True,up
WBGene00015551,4,1.0,PFOSA,1.11923448,9.375716910235921e-15,True,up
WBGene00011232,4,0.9666666666666667,PFOSA,0.974720752,9.38760271688725e-15,True,up
WBGene00012825,4,1.0,PFOSA,2.364400406,9.6957570992998e-15,True,up
WBGene00004144,4,1.0,PFOSA,3.889972743,9.981810796544e-15,True,up
WBGene00194641,4,1.0,PFOSA,1.977455852,1.01997455888623e-14,True,up
WBGene00017834,4,1.0,PFOSA,2.241477913,1.07372950566909e-14,True,up
WBGene00007508,4,0.9333333333333333,PFOSA,4.444080633,1.16474115038613e-14,True,up
WBGene00014058,4,1.0,PFOSA,1.393896955,1.171724579077e-14,True,up
WBGene00004382,4,1.0,PFOSA,0.903192213,1.34828902224646e-14,True,up
WBGene00003573,4,0.9,PFOSA,1.947244038,1.37102808713727e-14,True,up
WBGene00018872,4,1.0,PFOSA,0.945916028,1.44131853187224e-14,True,up
WBGene00000383,4,1.0,PFOSA,0.886342948,1.46337950959647e-14,True,up
