WB_id,consensus_module,consensus_strength,chemical,logFC,FDR,is_detected,direction
WBGene00003764,1,0.9666666666666667,PFOSA,0.2123693,0.256163262,False,up
WBGene00009358,1,0.9666666666666667,PFOSA,-0.197958485,0.256601436,False,down
WBGene00001644,1,1.0,PFOSA,0.138473552,0.257593919,False,up
WBGene00206359,1,0.9333333333333333,PFOSA,0.636114898,0.257653448,False,up
WBGene00015089,1,0.9666666666666667,PFOSA,0.597645663,0.258950124,False,up
WBGene00003733,1,0.9666666666666667,PFOSA,0.087184641,0.259392024,False,up
WBGene00009488,1,1.0,PFOSA,-0.390175259,0.262395996,False,down
WBGene00017777,1,1.0,PFOSA,-0.101079964,0.263012404,False,down
WBGene00009518,1,1.0,PFOSA,-0.239799544,0.265779475,False,down
WBGene00013294,1,0.9666666666666667,PFOSA,0.563518708,0.265858316,False,up
WBGene00014801,1,1.0,PFOSA,0.190204661,0.265987456,False,up
WBGene00003771,1,1.0,PFOSA,-0.29428235,0.267900615,False,down
WBGene00020938,1,1.0,PFOSA,0.196816802,0.269261474,False,up
WBGene00000281,1,1.0,PFOSA,0.089752716,0.272060223,False,up
WBGene00000420,1,0.8666666666666667,PFOSA,-0.098286045,0.273063818,False,down
WBGene00022870,1,0.9666666666666667,PFOSA,0.382766638,0.273297996,False,up
WBGene00022504,1,1.0,PFOSA,-0.355413212,0.273689054,False,down
WBGene00013078,1,0.7666666666666667,PFOSA,0.126703345,0.273766176,False,up
WBGene00000396,1,0.9666666666666667,PFOSA,0.100658996,0.274925547,False,up
WBGene00019588,1,0.7,PFOSA,-0.376104608,0.275475232,False,down
WBGene00045475,1,1.0,PFOSA,-0.751045513,0.276397095,False,down
WBGene00002249,1,1.0,PFOSA,-0.059839773,0.278084248,False,down
WBGene00008629,1,1.0,PFOSA,-0.333417648,0.278473589,False,down
WBGene00008826,1,0.9666666666666667,PFOSA,0.412611319,0.278499612,False,up
WBGene00007660,1,0.9666666666666667,PFOSA,0.576306778,0.279968623,False,up
WBGene00007944,1,1.0,PFOSA,0.077607735,0.280403035,False,up
WBGene00011436,1,0.9666666666666667,PFOSA,0.105723907,0.280486424,False,up
WBGene00008632,1,0.9666666666666667,PFOSA,-0.369527454,0.280976787,False,down
WBGene00013820,1,1.0,PFOSA,-0.355851934,0.282204374,False,down
WBGene00019362,1,1.0,PFOSA,-0.109304777,0.282949731,False,down
WBGene00045393,1,0.9666666666666667,PFOSA,0.63531237,0.286574637,False,up
WBGene00020088,1,1.0,PFOSA,-0.08441939,0.28675486,False,down
WBGene00000373,1,1.0,PFOSA,-0.40293184,0.287227963,False,down
WBGene00012152,1,0.9333333333333333,PFOSA,0.168362436,0.287233835,False,up
WBGene00021865,1,1.0,PFOSA,-0.340977511,0.287233835,False,down
WBGene00020862,1,0.5,PFOSA,0.114161232,0.290642502,False,up
WBGene00020908,1,1.0,PFOSA,-0.095298537,0.293982468,False,down
WBGene00020220,1,1.0,PFOSA,-0.48361198,0.294998467,False,down
WBGene00018412,1,0.9666666666666667,PFOSA,0.516179704,0.295956112,False,up
WBGene00004681,1,0.9666666666666667,PFOSA,-0.056950633,0.298655968,False,down
WBGene00020141,1,1.0,PFOSA,0.180231244,0.299310605,False,up
WBGene00011407,1,0.9666666666666667,PFOSA,-0.199849402,0.299446623,False,down
WBGene00009789,1,1.0,PFOSA,-0.13812197,0.300020724,False,down
WBGene00020972,1,0.6333333333333333,PFOSA,-0.141477712,0.300192475,False,down
WBGene00022606,1,1.0,PFOSA,-0.27262997,0.300289082,False,down
WBGene00008227,1,0.9333333333333333,PFOSA,0.136727386,0.300829238,False,up
WBGene00020989,1,1.0,PFOSA,0.111795945,0.30115241,False,up
WBGene00000786,1,1.0,PFOSA,0.136897514,0.302794865,False,up
WBGene00003933,1,0.9666666666666667,PFOSA,0.107185919,0.303015837,False,up
WBGene00010773,1,0.9,PFOSA,0.132000327,0.303286964,False,up
WBGene00012753,1,1.0,PFOSA,-0.175239616,0.305044843,False,down
WBGene00022406,1,0.5333333333333333,PFOSA,0.420332981,0.309257255,False,up
WBGene00001932,1,1.0,PFOSA,-0.257054066,0.313431896,False,down
WBGene00017727,1,1.0,PFOSA,-0.076470102,0.316883381,False,down
WBGene00019732,1,0.9666666666666667,PFOSA,-0.114874776,0.320457965,False,down
WBGene00194645,1,0.9666666666666667,PFOSA,-0.607409142,0.321230658,False,down
WBGene00018345,1,0.9666666666666667,PFOSA,0.6176154,0.321421053,False,up
WBGene00003097,1,1.0,PFOSA,0.081242866,0.321887953,False,up
WBGene00019604,1,1.0,PFOSA,-0.292855366,0.322518711,False,down
WBGene00010253,1,1.0,PFOSA,-0.814778255,0.323506488,False,down
WBGene00015894,1,1.0,PFOSA,-0.472229177,0.324281154,False,down
WBGene00009430,1,0.9666666666666667,PFOSA,0.182834019,0.324913419,False,up
WBGene00012855,1,0.7666666666666667,PFOSA,-0.301099199,0.325432282,False,down
WBGene00014761,1,1.0,PFOSA,-0.24814734,0.325984236,False,down
WBGene00009504,1,1.0,PFOSA,0.12145388,0.327752367,False,up
WBGene00015829,1,0.9666666666666667,PFOSA,-0.405291121,0.330368588,False,down
WBGene00017200,1,1.0,PFOSA,-0.378363052,0.3305388,False,down
WBGene00016226,1,0.6,PFOSA,0.537766258,0.332458382,False,up
WBGene00013766,1,0.9,PFOSA,0.092086765,0.332624036,False,up
WBGene00004369,1,0.9666666666666667,PFOSA,0.068364975,0.3336277,False,up
WBGene00001034,1,1.0,PFOSA,-0.051373057,0.333634957,False,down
WBGene00003530,1,0.9666666666666667,PFOSA,0.123335028,0.33513215,False,up
WBGene00003765,1,1.0,PFOSA,-0.263268468,0.335423104,False,down
WBGene00004191,1,0.9333333333333333,PFOSA,-0.108840816,0.336218971,False,down
WBGene00001903,1,0.9666666666666667,PFOSA,0.475762098,0.336419383,False,up
WBGene00009494,1,0.5666666666666667,PFOSA,-0.325283555,0.34077225,False,down
WBGene00022375,1,0.9666666666666667,PFOSA,-0.512689224,0.341621946,False,down
WBGene00021745,1,0.9,PFOSA,-0.215685513,0.34168272,False,down
WBGene00001149,1,1.0,PFOSA,-0.081450453,0.342962766,False,down
WBGene00012552,1,0.9666666666666667,PFOSA,0.140711823,0.343964886,False,up
WBGene00020166,1,1.0,PFOSA,0.132843584,0.344603762,False,up
WBGene00014091,1,0.9666666666666667,PFOSA,-0.080461936,0.345018063,False,down
WBGene00004193,1,1.0,PFOSA,0.102122329,0.345466963,False,up
WBGene00044237,1,0.9666666666666667,PFOSA,0.576382789,0.346504534,False,up
WBGene00044455,1,0.9,PFOSA,0.183060975,0.346576638,False,up
WBGene00018955,1,1.0,PFOSA,-0.196769563,0.348091583,False,down
WBGene00016063,1,0.9666666666666667,PFOSA,0.913131945,0.348926249,False,up
WBGene00004809,1,0.9666666666666667,PFOSA,0.082629438,0.349254182,False,up
WBGene00004823,1,1.0,PFOSA,-0.154550242,0.349554442,False,down
WBGene00017448,1,1.0,PFOSA,-0.072385714,0.350181857,False,down
WBGene00018806,1,1.0,PFOSA,-0.195055065,0.350416248,False,down
WBGene00006845,1,0.9,PFOSA,0.141759399,0.351443045,False,up
WBGene00003763,1,0.9666666666666667,PFOSA,-0.410268478,0.351725413,False,down
WBGene00012323,1,1.0,PFOSA,-0.37090239,0.352119933,False,down
WBGene00008940,1,1.0,PFOSA,-0.071423295,0.352216393,False,down
WBGene00015834,1,0.9666666666666667,PFOSA,0.69594015,0.352767906,False,up
WBGene00001168,1,1.0,PFOSA,0.048020752,0.353297082,False,up
WBGene00017012,1,1.0,PFOSA,0.126375671,0.353747661,False,up
WBGene00013035,1,1.0,PFOSA,-0.082281225,0.355332774,False,down
WBGene00018971,1,1.0,PFOSA,-0.154720446,0.35622775,False,down
WBGene00020884,1,1.0,PFOSA,-0.071484269,0.356630872,False,down
WBGene00002021,1,1.0,PFOSA,-0.125884704,0.356716872,False,down
WBGene00194746,1,0.9666666666666667,PFOSA,0.378280061,0.358774052,False,up
WBGene00013019,1,0.9666666666666667,PFOSA,-0.132598214,0.360884673,False,down
WBGene00001527,1,1.0,PFOSA,-0.055384013,0.362413544,False,down
WBGene00004986,1,1.0,PFOSA,0.116581416,0.363390489,False,up
WBGene00003879,1,0.7,PFOSA,0.506650558,0.363610465,False,up
WBGene00016717,1,0.9666666666666667,PFOSA,-0.152785969,0.364252069,False,down
WBGene00000959,1,1.0,PFOSA,0.058586254,0.367285938,False,up
WBGene00003695,1,1.0,PFOSA,0.146535032,0.368368599,False,up
WBGene00020924,1,0.7333333333333333,PFOSA,0.152193754,0.368395298,False,up
WBGene00004285,1,1.0,PFOSA,-0.09216048,0.371160444,False,down
WBGene00011926,1,0.9666666666666667,PFOSA,-0.231095499,0.372074719,False,down
WBGene00015284,1,1.0,PFOSA,0.133204879,0.372232851,False,up
WBGene00004890,1,1.0,PFOSA,-0.085701936,0.37279476,False,down
WBGene00021897,1,0.9666666666666667,PFOSA,0.127612826,0.374031041,False,up
WBGene00001761,1,1.0,PFOSA,-0.128107683,0.374453016,False,down
WBGene00011940,1,0.5333333333333333,PFOSA,0.067886717,0.374713052,False,up
WBGene00014206,1,1.0,PFOSA,-0.333112161,0.374807467,False,down
WBGene00009983,1,1.0,PFOSA,-0.359663673,0.374847069,False,down
WBGene00006615,1,0.9,PFOSA,0.06438421,0.375548788,False,up
WBGene00004963,1,0.9666666666666667,PFOSA,0.359107091,0.375842167,False,up
WBGene00019764,1,0.8666666666666667,PFOSA,0.132158675,0.378287488,False,up
WBGene00022801,1,1.0,PFOSA,-0.092315555,0.378663915,False,down
WBGene00000982,1,0.9666666666666667,PFOSA,-0.117826645,0.378663915,False,down
WBGene00044707,1,0.9666666666666667,PFOSA,0.499429982,0.381526245,False,up
WBGene00016087,1,0.7,PFOSA,-0.095472862,0.383477455,False,down
WBGene00008301,1,0.9666666666666667,PFOSA,0.480706841,0.385305272,False,up
WBGene00014210,1,0.8666666666666667,PFOSA,0.125878285,0.386866371,False,up
WBGene00017530,1,1.0,PFOSA,0.131757653,0.387315464,False,up
WBGene00005931,1,0.6666666666666666,PFOSA,0.192900367,0.39014832,False,up
WBGene00015887,1,1.0,PFOSA,-0.096066918,0.390859836,False,down
WBGene00044403,1,1.0,PFOSA,0.158985694,0.39133167,False,up
WBGene00020901,1,0.9666666666666667,PFOSA,0.114097266,0.391474562,False,up
WBGene00016162,1,1.0,PFOSA,-0.05942985,0.391828561,False,down
WBGene00004001,1,0.9666666666666667,PFOSA,-0.133293022,0.397181072,False,down
WBGene00000212,1,0.9,PFOSA,0.152227442,0.398098208,False,up
WBGene00007240,1,0.9333333333333333,PFOSA,-0.14067714,0.398173908,False,down
WBGene00021683,1,1.0,PFOSA,0.063336045,0.399638591,False,up
WBGene00009554,1,0.9,PFOSA,0.221258745,0.400144074,False,up
WBGene00005893,1,1.0,PFOSA,-0.252203937,0.400280714,False,down
WBGene00015291,1,1.0,PFOSA,-0.209532774,0.401255165,False,down
WBGene00016809,1,0.9666666666666667,PFOSA,0.11341315,0.402285191,False,up
WBGene00019225,1,1.0,PFOSA,0.098207018,0.402312632,False,up
WBGene00011564,1,1.0,PFOSA,0.055531535,0.403428887,False,up
WBGene00000074,1,0.8666666666666667,PFOSA,-0.074510329,0.403987322,False,down
WBGene00011255,1,1.0,PFOSA,-0.412935785,0.404647417,False,down
WBGene00015373,1,0.8666666666666667,PFOSA,0.309351617,0.406959253,False,up
WBGene00013564,1,0.9666666666666667,PFOSA,0.327148239,0.407073985,False,up
WBGene00015890,1,1.0,PFOSA,-0.901423966,0.413018357,False,down
WBGene00003767,1,0.9,PFOSA,-0.204284779,0.413232283,False,down
WBGene00016817,1,1.0,PFOSA,-0.140595927,0.413427043,False,down
WBGene00009256,1,1.0,PFOSA,0.079824018,0.414350914,False,up
WBGene00015799,1,1.0,PFOSA,0.394474168,0.415328665,False,up
WBGene00019355,1,1.0,PFOSA,-0.097119342,0.415922607,False,down
WBGene00206354,1,1.0,PFOSA,-0.193494399,0.41946307,False,down
WBGene00007134,1,0.9666666666666667,PFOSA,0.542211125,0.41992121,False,up
WBGene00012688,1,1.0,PFOSA,-0.200452497,0.41992121,False,down
WBGene00044401,1,1.0,PFOSA,-0.090578708,0.420674292,False,down
WBGene00004323,1,0.9666666666666667,PFOSA,0.063337504,0.420887765,False,up
WBGene00015172,1,0.9666666666666667,PFOSA,0.116101206,0.421137514,False,up
WBGene00018467,1,1.0,PFOSA,-0.070791823,0.421660868,False,down
WBGene00009137,1,0.9666666666666667,PFOSA,0.101639797,0.425162909,False,up
WBGene00001488,1,0.9666666666666667,PFOSA,-0.081850504,0.425749312,False,down
WBGene00011832,1,1.0,PFOSA,0.080735914,0.426116233,False,up
WBGene00007658,1,0.9666666666666667,PFOSA,0.526917354,0.427659287,False,up
WBGene00016585,1,0.5333333333333333,PFOSA,-0.1047437,0.427856972,False,down
WBGene00000472,1,1.0,PFOSA,-0.039551359,0.429529822,False,down
WBGene00022548,1,0.9666666666666667,PFOSA,0.360142475,0.429706765,False,up
WBGene00019073,1,1.0,PFOSA,-0.125765057,0.432541119,False,down
WBGene00007656,1,0.9666666666666667,PFOSA,0.535982658,0.432612966,False,up
WBGene00021526,1,0.6333333333333333,PFOSA,0.459287214,0.432724765,False,up
WBGene00022848,1,1.0,PFOSA,-0.086385571,0.433884946,False,down
WBGene00015454,1,1.0,PFOSA,0.051520586,0.4341946,False,up
