WB_id,consensus_module,consensus_strength,chemical,logFC,FDR,is_detected,direction
WBGene00011671,3,0.9,PFOSA,9.750385296,1.82036145508861e-24,True,up
WBGene00010413,3,0.9666666666666667,PFOSA,9.056008831,7.52753237549609e-24,True,up
WBGene00044514,3,0.9333333333333333,PFOSA,7.487190126,1.15656054112676e-23,True,up
WBGene00000986,3,1.0,PFOSA,6.444873517,1.15656054112676e-23,True,up
WBGene00020587,3,1.0,PFOSA,2.961588887,1.7729153681342202e-23,True,up
WBGene00022813,3,0.9333333333333333,PFOSA,5.002818599,9.49134045608692e-23,True,up
WBGene00001756,3,1.0,PFOSA,8.240804414,2.18765453348438e-22,True,up
WBGene00011672,3,0.9,PFOSA,4.980532368,2.18765453348438e-22,True,up
WBGene00004236,3,1.0,PFOSA,6.264900843,3.28305352494647e-22,True,up
WBGene00017480,3,1.0,PFOSA,1.941454727,3.961916558268e-22,True,up
WBGene00007811,3,1.0,PFOSA,2.968929327,4.50042017206977e-22,True,up
WBGene00006890,3,1.0,PFOSA,2.179850415,7.03032933260891e-22,True,up
WBGene00019516,3,1.0,PFOSA,4.085798164,1.6943211483493702e-21,True,up
WBGene00016174,3,0.9,PFOSA,3.594291862,9.31392591406015e-21,True,up
WBGene00010706,3,0.5333333333333333,PFOSA,4.124819011,2.5846299996394302e-20,True,up
WBGene00015045,3,0.6333333333333333,PFOSA,8.870515153,3.42265953346992e-20,True,up
WBGene00011002,3,1.0,PFOSA,3.333319447,1.03382871892046e-19,True,up
WBGene00008032,3,0.9,PFOSA,2.039139776,1.90540867846682e-19,True,up
WBGene00011190,3,1.0,PFOSA,4.579267748,2.0710525891869502e-19,True,up
WBGene00010707,3,0.9,PFOSA,5.051735905,3.75371142190458e-19,True,up
WBGene00015692,3,1.0,PFOSA,2.326844389,4.11368947277797e-19,True,up
WBGene00015044,3,0.8,PFOSA,6.49040481,5.088339478475711e-19,True,up
WBGene00016863,3,1.0,PFOSA,5.789533068,5.67107465582215e-19,True,up
WBGene00006418,3,0.9666666666666667,PFOSA,3.886156358,7.15961611726915e-19,True,up
WBGene00007072,3,0.9,PFOSA,3.924516107,8.26845725687213e-19,True,up
WBGene00008273,3,0.8666666666666667,PFOSA,1.987290572,2.4556955081945298e-18,True,up
WBGene00021611,3,0.9,PFOSA,1.881345374,2.4556955081945298e-18,True,up
WBGene00017488,3,0.9,PFOSA,4.580281015,4.39274259646471e-18,True,up
WBGene00019234,3,1.0,PFOSA,2.497290874,6.1771794754996e-18,True,up
WBGene00007810,3,1.0,PFOSA,2.470808299,7.354989971217279e-18,True,up
WBGene00017315,3,1.0,PFOSA,5.616097394,8.68630051965818e-18,True,up
WBGene00235110,3,0.9666666666666667,PFOSA,5.79045727,1.74564221452857e-17,True,up
WBGene00044278,3,0.9333333333333333,PFOSA,4.054983853,2.10715994409939e-17,True,up
WBGene00017431,3,0.9666666666666667,PFOSA,1.878799874,7.50696715742535e-17,True,up
WBGene00019965,3,1.0,PFOSA,1.551819461,9.17889856191182e-17,True,up
WBGene00018430,3,1.0,PFOSA,2.216125205,1.73804517033057e-16,True,up
WBGene00009920,3,0.9666666666666667,PFOSA,1.27964613,1.8402303858101002e-16,True,up
WBGene00020895,3,1.0,PFOSA,1.485263778,3.06846110840009e-16,True,up
WBGene00012531,3,1.0,PFOSA,1.992878163,3.85877738654188e-16,True,up
WBGene00008602,3,1.0,PFOSA,3.707570878,6.00655135634106e-16,True,up
WBGene00009110,3,0.9,PFOSA,3.425234279,7.26516042870255e-16,True,up
WBGene00015930,3,0.8333333333333334,PFOSA,1.521385505,9.49640980950187e-16,True,up
WBGene00013906,3,1.0,PFOSA,1.671566784,9.94578174989005e-16,True,up
WBGene00000977,3,0.5666666666666667,PFOSA,2.892774367,1.4214949189884701e-15,True,up
WBGene00019830,3,1.0,PFOSA,3.533529932,1.4529052147632702e-15,True,up
WBGene00013586,3,0.9666666666666667,PFOSA,5.466357267,2.03495445478463e-15,True,up
WBGene00010665,3,1.0,PFOSA,1.890706489,3.1990758068686205e-15,True,up
WBGene00006686,3,0.9,PFOSA,1.972319244,3.4524229236951705e-15,True,up
WBGene00019233,3,1.0,PFOSA,3.427609781,3.4624137397772504e-15,True,up
WBGene00044481,3,1.0,PFOSA,2.150604113,6.041309224329861e-15,True,up
WBGene00044183,3,1.0,PFOSA,3.793793588,7.2547654318142e-15,True,up
WBGene00017515,3,1.0,PFOSA,2.055321304,7.54841293151813e-15,True,up
WBGene00013647,3,1.0,PFOSA,2.600952151,7.605917268099571e-15,True,up
WBGene00015042,3,1.0,PFOSA,5.616588353,9.7526244560114e-15,True,up
WBGene00020909,3,0.6666666666666666,PFOSA,3.06690477,1.72020732724855e-14,True,up
WBGene00012610,3,0.9,PFOSA,1.626823891,1.72020732724855e-14,True,up
WBGene00008617,3,0.9,PFOSA,3.369718101,1.73497389398105e-14,True,up
WBGene00010985,3,0.9666666666666667,PFOSA,2.598558043,2.03008381984802e-14,True,up
WBGene00006603,3,0.7333333333333333,PFOSA,0.870467581,2.66858483045791e-14,True,up
WBGene00007605,3,0.9666666666666667,PFOSA,2.419306996,2.88520170234144e-14,True,up
WBGene00019645,3,0.5333333333333333,PFOSA,2.381648268,3.70760627722171e-14,True,up
WBGene00004210,3,0.9666666666666667,PFOSA,1.027516422,4.19216468834257e-14,True,up
WBGene00017336,3,1.0,PFOSA,3.080510053,5.0794315598456e-14,True,up
WBGene00011285,3,1.0,PFOSA,2.533285454,6.97904054694941e-14,True,up
WBGene00017510,3,1.0,PFOSA,2.476014467,9.6617809738057e-14,True,up
WBGene00013481,3,0.9666666666666667,PFOSA,1.609816168,9.6617809738057e-14,True,up
WBGene00003696,3,1.0,PFOSA,1.948030084,1.32038845846343e-13,True,up
WBGene00018492,3,1.0,PFOSA,1.817867919,1.6975726866014e-13,True,up
WBGene00017364,3,0.7666666666666667,PFOSA,2.077005149,1.9128074604379798e-13,True,up
WBGene00000111,3,0.9333333333333333,PFOSA,1.883992782,2.01788339324143e-13,True,up
WBGene00012728,3,0.9,PFOSA,1.904653687,2.24949953730916e-13,True,up
WBGene00006656,3,1.0,PFOSA,1.302652474,2.94232966725578e-13,True,up
WBGene00019885,3,1.0,PFOSA,2.443894438,3.61436622209653e-13,True,up
WBGene00017613,3,1.0,PFOSA,0.995467103,3.70688023642785e-13,True,up
WBGene00019235,3,0.9,PFOSA,2.436927896,3.75478351151986e-13,True,up
WBGene00007507,3,0.9666666666666667,PFOSA,3.327055715,3.77782986046286e-13,True,up
WBGene00019127,3,0.9,PFOSA,0.686187296,4.44887544649619e-13,True,up
WBGene00010019,3,0.8333333333333334,PFOSA,2.793085622,4.50724955106658e-13,True,up
WBGene00017060,3,1.0,PFOSA,2.023294249,4.53818130177898e-13,True,up
WBGene00021587,3,1.0,PFOSA,2.257762064,5.66320169314763e-13,True,up
WBGene00008988,3,1.0,PFOSA,2.922681077,5.838019770961739e-13,True,up
WBGene00012494,3,1.0,PFOSA,1.259896082,6.19129262193431e-13,True,up
WBGene00014697,3,1.0,PFOSA,2.171237904,6.22202123514529e-13,True,up
WBGene00000282,3,1.0,PFOSA,1.218541686,6.58849058786129e-13,True,up
WBGene00271821,3,1.0,PFOSA,3.662251678,6.7523813732424e-13,True,up
WBGene00006916,3,0.9,PFOSA,0.972976175,7.520358991708e-13,True,up
WBGene00011158,3,0.7333333333333333,PFOSA,4.008291804,7.70105226470112e-13,True,up
