pair,real_corr,null_mean,percentile_vs_null,p_empirical,q_bh_45_pairs
PFOS-PFNA,0.997,0.513,100.0,0.009900990099009901,0.11138613861386139
GenX-PFBA,0.997,0.228,100.0,0.009900990099009901,0.11138613861386139
PFOS-GenX,0.984,0.381,100.0,0.009900990099009901,0.11138613861386139
PFNA-PFBS,0.985,0.432,99.0,0.019801980198019802,0.11138613861386139
PFEESA-PFBS,0.983,0.416,99.0,0.019801980198019802,0.11138613861386139
PFOS-PFBA,0.975,0.191,99.0,0.019801980198019802,0.11138613861386139
PFNA-PFEESA,0.966,0.399,99.0,0.019801980198019802,0.11138613861386139
PFOS-PFOA,0.959,0.337,99.0,0.019801980198019802,0.11138613861386139
PFOS-PFBS,0.974,0.32,98.0,0.0297029702970297,0.11138613861386139
PFNA-GenX,0.972,0.357,98.0,0.0297029702970297,0.11138613861386139
PFOA-PFEESA,0.939,0.28,98.0,0.0297029702970297,0.11138613861386139
PFEESA-PFBA,0.907,0.204,98.0,0.0297029702970297,0.11138613861386139
PFNA-PFBA,0.963,0.239,97.0,0.039603960396039604,0.11138613861386139
PFBS-PFBA,0.95,0.417,97.0,0.039603960396039604,0.11138613861386139
PFOS-PFEESA,0.947,0.264,97.0,0.039603960396039604,0.11138613861386139
PFOA-GenX,0.919,0.283,97.0,0.039603960396039604,0.11138613861386139
PFNA-PFOA,0.964,0.415,95.0,0.0594059405940594,0.14069828035435122
PFOA-PFBS,0.921,0.282,95.0,0.0594059405940594,0.14069828035435122
PFOA-PFBA,0.898,0.341,95.0,0.0594059405940594,0.14069828035435122
GenX-PFBS,0.948,0.418,94.0,0.06930693069306931,0.15594059405940597
GenX-PFEESA,0.907,0.326,93.0,0.07920792079207921,0.16973125884016974
PFBSA-PFPeA,0.752,0.221,87.0,0.13861386138613863,0.28352835283528355
PFBSA-PFOA,0.29,0.095,59.0,0.4158415841584158,0.7982673267326733
PFOSA-PFPeA,-0.174,-0.188,58.0,0.42574257425742573,0.7982673267326733
PFBSA-PFEESA,0.396,0.262,54.0,0.46534653465346537,0.8376237623762376
PFBSA-PFBS,0.231,0.165,49.0,0.5148514851485149,0.8910891089108912
PFBSA-PFNA,0.169,0.16,46.0,0.5445544554455446,0.9075907590759077
PFBSA-PFOS,0.106,0.127,42.0,0.5841584158415841,0.9371799248890406
PFBSA-PFBA,0.018,0.139,40.0,0.6039603960396039,0.9371799248890406
PFBSA-GenX,0.013,0.247,28.0,0.7227722772277227,0.9504950495049505
PFOA-PFPeA,-0.335,0.059,24.0,0.7623762376237624,0.9504950495049505
PFOSA-GenX,-0.629,-0.082,19.0,0.8118811881188119,0.9504950495049505
PFOSA-PFBA,-0.648,-0.118,19.0,0.8118811881188119,0.9504950495049505
PFNA-PFPeA,-0.498,0.021,18.0,0.8217821782178217,0.9504950495049505
PFEESA-PFPeA,-0.293,0.212,17.0,0.8316831683168316,0.9504950495049505
PFPeA-PFBA,-0.591,0.06,17.0,0.8316831683168316,0.9504950495049505
PFBS-PFPeA,-0.458,0.125,15.0,0.8514851485148515,0.9504950495049505
PFOSA-PFOS,-0.673,0.017,15.0,0.8514851485148515,0.9504950495049505
PFOS-PFPeA,-0.543,0.07,12.0,0.8811881188118812,0.9504950495049505
GenX-PFPeA,-0.595,0.079,10.0,0.900990099009901,0.9504950495049505
PFOSA-PFBSA,-0.751,-0.187,10.0,0.900990099009901,0.9504950495049505
PFOSA-PFBS,-0.781,-0.112,9.0,0.9108910891089109,0.9504950495049505
PFOSA-PFOA,-0.725,-0.055,8.0,0.9207920792079208,0.9504950495049505
PFOSA-PFNA,-0.716,-0.015,6.0,0.9405940594059405,0.9504950495049505
PFOSA-PFEESA,-0.868,-0.124,5.0,0.9504950495049505,0.9504950495049505
