WB_id,module
WBGene00011673,1
WBGene00011671,3
WBGene00007231,4
WBGene00010413,3
WBGene00044514,3
WBGene00000986,3
WBGene00020587,3
WBGene00077764,4
WBGene00019818,4
WBGene00019515,1
WBGene00022813,3
WBGene00001756,3
WBGene00011672,3
WBGene00004236,3
WBGene00007232,4
WBGene00017480,3
WBGene00007811,3
WBGene00006890,3
WBGene00010904,1
WBGene00044658,4
WBGene00000372,1
WBGene00018206,1
WBGene00019516,3
WBGene00021610,4
WBGene00016505,4
WBGene00016174,3
WBGene00010706,3
WBGene00015045,3
WBGene00017970,4
WBGene00003997,4
WBGene00001387,4
WBGene00011002,3
WBGene00020891,4
WBGene00002270,4
WBGene00019875,4
WBGene00008032,3
WBGene00011190,3
WBGene00008607,2
WBGene00010707,3
WBGene00011800,1
WBGene00015692,3
WBGene00001814,0
WBGene00015044,3
WBGene00016863,3
WBGene00009319,0
WBGene00007215,0
WBGene00017426,0
WBGene00010697,4
WBGene00017244,1
WBGene00006418,3
WBGene00022159,0
WBGene00020382,0
WBGene00003410,0
WBGene00001390,4
WBGene00007072,3
WBGene00013435,0
WBGene00003561,4
WBGene00008273,3
WBGene00021611,3
WBGene00000412,1
WBGene00001775,2
WBGene00015752,0
WBGene00004176,4
WBGene00017154,0
WBGene00017488,3
WBGene00019234,3
WBGene00007810,3
WBGene00017315,3
WBGene00015067,4
WBGene00010738,0
WBGene00011894,4
WBGene00003415,0
WBGene00045379,0
WBGene00020947,4
WBGene00018488,2
WBGene00235110,3
WBGene00009812,0
WBGene00017621,4
WBGene00001624,4
WBGene00044278,3
WBGene00011408,0
WBGene00002007,0
WBGene00004020,2
WBGene00020110,0
WBGene00000017,4
WBGene00012909,0
WBGene00016594,4
WBGene00003964,0
WBGene00021327,0
WBGene00008775,0
WBGene00020301,4
WBGene00010627,0
WBGene00010478,0
WBGene00015168,0
WBGene00003877,0
WBGene00019543,0
WBGene00020915,0
WBGene00022306,4
WBGene00011480,0
WBGene00017431,3
WBGene00010524,0
WBGene00013882,4
WBGene00010303,0
WBGene00004894,4
WBGene00019965,3
WBGene00009383,4
WBGene00010032,0
WBGene00018340,0
WBGene00002238,0
WBGene00010896,0
WBGene00021088,0
WBGene00018430,3
WBGene00009920,3
WBGene00016906,0
WBGene00003752,4
WBGene00008743,4
WBGene00017220,4
WBGene00019104,4
WBGene00003995,1
WBGene00001621,4
WBGene00021048,4
WBGene00004008,4
WBGene00006617,0
WBGene00001025,0
WBGene00002066,0
WBGene00001228,0
WBGene00020895,3
WBGene00018748,4
WBGene00001209,0
WBGene00016180,4
WBGene00001232,0
WBGene00015920,0
WBGene00013181,4
WBGene00022173,0
WBGene00001650,0
WBGene00021934,0
WBGene00001497,0
WBGene00011771,0
WBGene00012717,4
WBGene00018373,0
WBGene00012531,3
WBGene00007946,1
WBGene00012978,0
WBGene00021369,4
WBGene00000016,4
WBGene00009660,4
WBGene00010681,4
WBGene00019357,4
WBGene00012182,4
WBGene00006984,4
WBGene00016583,0
WBGene00019220,0
WBGene00001674,4
WBGene00006889,0
WBGene00008602,3
WBGene00017865,4
WBGene00044182,4
WBGene00022078,4
WBGene00021546,0
WBGene00009110,3
WBGene00009803,4
WBGene00016607,0
WBGene00011424,4
WBGene00008439,4
WBGene00001243,2
WBGene00019827,4
WBGene00006787,0
WBGene00020788,0
WBGene00018731,4
WBGene00000155,0
WBGene00020784,4
WBGene00015930,3
WBGene00019246,0
WBGene00013906,3
WBGene00022599,0
WBGene00011440,0
WBGene00019510,0
WBGene00001945,4
WBGene00019537,0
WBGene00007055,4
WBGene00003989,0
WBGene00019800,0
WBGene00000977,3
WBGene00001226,0
WBGene00004981,0
WBGene00019830,3
WBGene00011286,4
WBGene00002083,0
WBGene00013577,4
WBGene00001231,0
WBGene00014826,4
WBGene00021852,2
WBGene00006945,0
WBGene00012964,0
WBGene00018271,0
WBGene00007350,0
WBGene00000067,2
WBGene00017245,0
WBGene00006662,4
