chemical,0,1,2,3,4
PFOSA,1710.7084349098002,1336.407215992199,2131.4623110677717,2629.93505607021,1352.4869819600194
PFBSA,485.7059970745978,379.43403217942466,605.1668454412481,746.6937103851781,383.99941491955144
PFOS,35.48025353486104,27.717211116528524,44.20672842515846,54.5450999512433,28.05070697220868
PFNA,66.66552901023891,52.07918088737202,83.06211604095563,102.48737201365189,52.70580204778157
PFOA,28.757679180887372,22.46552901023891,35.83071672354949,44.210238907849835,22.735836177474404
GenX,83.28522671867383,65.062506094588,103.76947830326671,128.03744514870795,65.84534373476353
PFEESA,193.83422720624088,151.42350073135057,241.50833739639202,297.988493417845,153.24544124817163
PFBS,133.70453437347635,104.45012189176012,166.589566065334,205.54890297415898,105.7068746952706
PFPeA,1119.868844466114,874.842710872745,1395.303949293028,1721.615602145295,885.3688932228182
PFBA,34.35982447586543,26.841930765480257,42.8107264748903,52.822623110677725,27.1648951730863
