,PC1,PC2,explained_PC1,explained_PC2
PFOSA,-4.717802661810931,-0.12204113181969094,0.9945772067993726,0.0045228621341192165
PFBSA,-0.09517933598396978,0.17185070728371685,0.9945772067993726,0.0045228621341192165
PFOS,1.0033406648210308,-0.047922606005418374,0.9945772067993726,0.0045228621341192165
PFNA,0.7977526573740468,-0.014012423551419108,0.9945772067993726,0.0045228621341192165
PFOA,1.1053316368677282,-0.09240169836279302,0.9945772067993726,0.0045228621341192165
GenX,0.9465901035091204,-0.08144969733535287,0.9945772067993726,0.0045228621341192165
PFEESA,0.5848669938344444,0.1564567196592862,0.9945772067993726,0.0045228621341192165
PFBS,0.6106975128108475,-0.031075165605433972,0.9945772067993726,0.0045228621341192165
PFPeA,-1.379779915211049,0.1833526257025228,0.9945772067993726,0.0045228621341192165
PFBA,1.144182343788732,-0.12275732996541741,0.9945772067993726,0.0045228621341192165
